Time,Mean Value
2017.146,42.95561874
2017.173,43.04023444
2017.200,43.12485015
2017.227,43.20946586
2017.255,43.29721548
2017.282,43.38183118
2017.309,43.46644689
2017.336,43.5510626
2017.363,43.6356783
2017.390,43.72029401
2017.418,43.80804363
2017.445,43.89265934
2017.472,43.97727504
2017.499,44.06189075
2017.526,44.14650645
2017.554,44.23425608
2017.581,44.31887178
2017.608,44.40348749
2017.635,44.48810319
2017.662,44.5727189
2017.689,44.65733461
2017.717,44.74508423
2017.744,44.82969993
2017.771,44.91431564
2017.798,44.99893135
2017.825,45.08354705
2017.852,45.16816276
2017.879,45.25277847
2017.907,45.34052809
2017.934,45.42514379
2017.961,45.5097595
2017.988,45.59437521
2018.014,45.675857
2018.284,46.52201406
2018.554,47.36817112
2018.824,48.21432818
2019.094,49.06048525
2019.364,49.90664231
2019.634,50.75279937
2019.904,51.59895643
2020.174,52.4451135
2020.444,53.29127056
2020.714,54.13742762
2020.984,54.98358468
2021.254,55.82974175
2021.524,56.67589881
2021.794,57.52205587
2022.064,58.36821293
2022.334,59.21437
2022.604,60.06052706
2022.874,60.90668412
2023.144,61.75284118
2023.414,62.59899825
2023.684,63.44515531
2023.954,64.29131237
2024.224,65.13746943
2024.494,65.9836265
2024.764,66.82978356
2025.034,67.67594062
2025.304,68.52209768
2025.574,69.36825474
2025.844,70.21441181
2026.114,71.06056887
2026.384,71.90672593
2026.654,72.75288299
2026.924,73.59904006
2027.194,74.44519712
2027.464,75.29135418
2027.734,76.13751124
2028.004,76.98366831
2028.274,77.82982537
2028.544,78.67598243
2028.814,79.52213949
2029.084,80.36829656
2029.354,81.21445362
2029.624,82.06061068
2029.894,82.90676774
2030.164,83.75292481
2030.434,84.59908187
2030.704,85.44523893
2030.974,86.29139599
2031.244,87.13755306
2031.514,87.98371012
2031.784,88.82986718
2032.054,89.67602424
2032.324,90.52218131
2032.594,91.36833837
2032.864,92.21449543
2033.134,93.06065249
2033.404,93.90680956
2033.674,94.75296662
2033.944,95.59912368
2034.214,96.44528074
2034.484,97.29143781
2034.754,98.13759487
2035.024,98.98375193
2035.294,99.82990899
2035.564,100.6760661
2035.834,101.5222231
2036.104,102.3683802
2036.374,103.2145372
2036.644,104.0606943
2036.914,104.9068514
2037.184,105.7530084
2037.454,106.5991655
2037.724,107.4453226
2037.994,108.2914796
2038.264,109.1376367
2038.534,109.9837937
2038.804,110.8299508
2039.074,111.6761079
2039.344,112.5222649
2039.614,113.368422
2039.884,114.2145791
2040.154,115.0607361
2040.424,115.9068932
2040.694,116.7530502
2040.964,117.5992073
2041.234,118.4453644
2041.504,119.2915214
2041.774,120.1376785
2042.044,120.9838356
2042.314,121.8299926
2042.584,122.6761497
2042.854,123.5223067
2043.124,124.3684638
2043.394,125.2146209
2043.664,126.0607779
2043.934,126.906935
2044.204,127.7530921
2044.474,128.5992491
2044.744,129.4454062
2045.014,130.2915632
